NoCreditHistory,AverageMInFile,ExternalRiskEstimate,NumTotalTrades,MSinceMostRecentDelq,Total_Debt_Burden,NumInqLast6M
0,124,62,57,8,80,0
0,46,61,10,55,0,0
0,67,83,30,55,22,1
0,67,82,47,55,14,1
0,32,56,14,15,125,3
0,81,71,15,7,18,0
0,22,62,5,10,0,1
0,82,80,19,9,7,0
0,84,80,34,24,58,2
0,62,64,9,63,93,4
0,7,63,12,55,18,10
1,0,0,0,0,0,0
0,48,72,34,55,138,12
0,84,68,36,2,127,2
1,0,0,0,0,0,0
0,143,65,59,7,96,1
0,80,72,16,20,115,0
0,87,60,3,7,157,2
0,36,61,8,13,99,0
1,0,0,0,0,0,0
0,88,70,8,55,167,0
0,82,75,30,18,57,2
0,99,78,32,37,6,3
1,0,0,0,0,0,0
0,102,88,15,55,11,0
0,83,61,18,5,132,4
0,59,66,6,25,0,1
0,86,70,61,55,136,3
1,0,0,0,0,0,0
0,61,72,24,55,23,1
1,0,0,0,0,0,0
0,54,63,39,22,81,3
0,64,74,58,29,37,5
0,76,80,12,0,11,2
0,66,72,33,55,97,0
0,88,73,40,23,79,0
0,37,64,15,20,131,1
0,137,84,37,55,45,0
0,81,84,14,55,93,3
0,32,67,10,55,138,2
0,102,73,34,55,65,0
0,107,63,19,8,129,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,70,70,27,55,98,0
0,118,81,15,65,27,0
0,92,80,42,33,107,1
0,94,79,45,19,56,1
0,58,80,19,55,73,0
0,55,73,40,55,137,0
0,110,84,12,46,17,2
0,114,80,29,25,110,1
0,104,70,27,26,96,1
1,0,0,0,0,0,0
0,82,65,34,45,156,1
1,0,0,0,0,0,0
0,59,61,23,0,138,0
0,85,81,25,55,112,0
0,128,87,9,55,11,0
0,78,77,27,55,35,0
0,79,89,12,55,2,0
0,94,69,34,55,86,1
0,22,59,10,55,94,2
0,90,65,26,26,144,0
0,39,76,6,55,43,0
0,75,67,14,80,144,3
0,50,73,21,55,1,3
0,93,78,9,22,31,0
0,89,64,18,55,116,2
0,69,66,34,55,74,0
0,68,85,19,55,74,0
0,75,57,12,8,100,1
0,43,73,20,24,147,0
0,95,63,29,56,145,0
0,64,79,23,10,0,0
0,75,77,34,16,95,2
0,32,61,6,55,183,1
0,58,61,44,6,114,0
0,70,61,10,20,87,9
0,72,76,29,45,17,0
0,106,84,44,55,2,4
0,51,67,0,16,16,1
0,57,81,37,77,79,2
0,108,54,35,1,87,0
0,75,76,27,30,14,2
0,48,64,23,23,161,2
0,50,64,32,14,67,2
0,126,86,25,55,18,0
0,53,54,25,5,120,2
0,78,85,10,55,19,2
1,0,0,0,0,0,0
0,65,68,48,12,44,2
1,0,0,0,0,0,0
0,52,77,22,55,125,4
0,58,81,45,24,90,0
0,57,74,24,45,85,0
0,58,84,21,24,3,0
0,55,82,28,55,63,1
1,0,0,0,0,0,0
0,60,76,27,55,14,3
0,84,63,35,7,84,1
0,81,65,11,15,81,0
0,59,55,9,7,29,0
0,15,50,5,5,76,2
0,58,58,5,70,50,1
0,160,80,13,20,0,0
0,43,67,22,55,94,0
0,52,65,74,55,124,5
0,77,81,39,55,13,0
0,89,72,35,44,91,1
0,18,58,12,55,164,1
0,96,73,23,34,97,2
0,64,62,21,5,122,0
0,125,73,12,21,55,1
0,20,70,20,55,115,3
0,58,69,36,55,113,4
0,145,83,51,40,20,0
0,36,62,26,55,130,0
0,51,78,14,45,85,0
0,94,78,34,55,1,3
0,107,63,17,1,16,1
0,52,80,16,55,109,1
0,95,83,19,55,59,0
0,67,68,23,34,162,3
0,148,83,7,55,0,1
0,41,63,16,3,101,0
0,61,67,17,20,92,1
0,48,43,8,1,53,0
0,71,65,14,33,22,1
0,54,81,14,31,2,0
0,151,76,24,12,39,1
0,71,83,14,55,95,3
0,52,64,24,26,106,5
0,74,62,35,1,100,5
0,105,88,11,55,28,0
0,114,91,25,55,43,0
1,0,0,0,0,0,0
0,24,56,22,2,148,0
0,115,86,24,55,5,1
0,32,76,1,55,104,0
0,69,67,38,7,71,5
0,97,75,21,55,106,0
0,88,78,26,1,3,0
0,88,74,4,24,93,2
0,91,83,27,55,82,1
0,28,60,27,14,86,0
0,39,74,14,26,36,0
0,75,72,18,6,0,2
0,62,71,7,73,73,2
0,88,58,55,1,71,1
0,57,79,20,13,67,1
0,92,79,18,55,46,0
0,84,72,26,46,30,0
0,95,85,14,46,105,2
0,45,60,10,4,116,2
0,53,70,17,55,110,1
0,10,55,6,55,133,1
0,27,58,13,55,156,4
0,69,75,16,55,134,3
0,54,65,34,3,80,2
0,82,84,15,55,5,0
0,46,71,14,25,76,1
0,118,91,13,55,0,1
0,104,72,47,0,124,1
0,42,74,33,42,127,2
0,125,91,18,55,5,0
0,64,70,14,25,70,1
0,179,88,5,55,6,0
0,135,86,21,55,58,0
0,80,80,27,55,106,5
0,73,74,30,0,101,3
0,67,70,34,0,66,1
0,77,66,8,48,99,0
0,52,59,14,15,130,5
0,64,81,14,59,11,0
0,84,61,24,7,0,0
0,100,60,34,5,167,3
0,67,83,21,55,40,0
0,89,86,11,55,5,2
0,114,56,4,0,100,0
1,0,0,0,0,0,0
0,59,69,0,29,52,6
0,106,85,22,70,18,3
0,108,67,40,3,126,1
0,52,80,19,55,76,1
0,54,75,15,13,46,4
0,56,65,43,57,14,4
0,61,61,45,10,101,0
0,51,60,24,55,114,3
0,101,64,35,8,123,1
0,89,79,13,55,78,0
0,59,70,14,2,87,1
0,60,75,9,27,5,0
0,43,70,1,12,100,2
0,79,86,17,55,9,6
0,73,67,30,33,161,0
0,102,64,50,1,159,2
0,132,89,35,41,1,0
0,61,72,21,55,132,0
0,76,83,35,55,68,1
0,103,62,13,9,49,0
0,56,79,27,55,12,0
0,164,91,15,55,36,1
0,142,81,55,55,53,1
0,175,74,11,28,124,0
1,0,0,0,0,0,0
0,139,77,38,55,27,2
0,82,81,40,55,100,0
0,88,80,26,55,30,0
0,151,76,17,12,8,1
0,56,55,9,31,71,10
0,48,77,18,55,89,2
0,143,87,30,55,13,0
1,0,0,0,0,0,0
0,52,57,16,8,162,0
0,56,70,27,55,113,3
0,109,85,29,55,1,0
1,0,0,0,0,0,0
0,66,54,31,2,75,0
0,130,81,34,55,107,2
0,106,88,23,55,69,2
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,74,84,24,55,58,1
0,18,73,11,55,117,1
0,116,91,5,55,2,2
0,47,82,2,55,19,0
0,15,65,10,55,95,0
0,62,72,11,55,28,0
0,80,84,26,55,73,2
0,46,76,7,55,24,0
0,59,70,35,36,114,5
0,221,80,8,55,51,0
0,241,86,21,73,0,0
0,102,55,11,2,187,0
0,123,82,29,42,60,0
0,79,57,11,2,121,2
0,79,88,27,55,74,3
0,34,56,3,55,64,4
0,88,74,24,7,1,1
0,74,82,30,55,52,0
0,104,67,48,12,89,1
0,87,88,8,55,3,0
0,141,87,57,55,5,0
0,77,69,70,55,97,5
0,77,85,10,55,95,0
0,71,80,36,55,15,7
1,0,0,0,0,0,0
0,45,72,21,55,161,1
0,41,67,21,55,174,4
0,78,89,6,55,9,0
0,43,56,0,0,26,0
0,53,62,36,1,21,2
0,61,64,19,15,168,2
0,61,71,37,55,137,5
0,66,66,7,56,122,2
0,74,68,30,0,133,1
0,47,84,39,55,3,1
0,73,69,32,0,168,0
0,21,70,4,55,173,0
0,69,61,5,12,94,0
1,0,0,0,0,0,0
0,41,62,12,14,82,0
0,62,67,9,14,104,2
0,92,70,25,55,156,4
0,61,64,38,55,172,0
0,71,80,14,55,35,4
0,80,80,26,50,87,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,81,71,12,55,123,1
0,111,89,33,55,12,3
0,74,89,24,55,103,2
0,52,79,20,53,95,0
0,86,81,17,55,24,0
0,95,69,23,4,93,1
0,87,72,21,55,51,0
0,129,56,59,3,101,1
0,224,54,23,1,55,1
0,106,82,28,10,7,0
0,62,65,45,1,100,3
0,93,73,20,48,108,1
1,0,0,0,0,0,0
0,16,69,5,55,145,3
0,58,54,42,1,41,2
0,36,70,9,20,148,0
0,102,73,11,13,95,2
0,106,54,45,0,65,11
0,154,80,18,55,25,2
0,51,57,35,55,143,2
1,0,0,0,0,0,0
0,49,68,8,81,177,4
0,43,71,15,44,133,2
0,62,58,32,1,132,0
0,52,64,12,28,109,2
0,69,81,36,35,81,0
0,87,82,29,41,105,1
0,11,58,8,23,100,1
0,52,64,11,64,189,4
0,44,76,24,12,77,0
0,96,65,21,64,170,1
0,67,67,17,2,116,1
0,62,81,17,55,41,0
0,94,80,17,55,45,0
1,0,0,0,0,0,0
0,62,63,14,5,137,5
0,14,63,7,12,87,0
0,121,84,25,55,6,2
0,107,74,47,55,126,1
0,61,80,7,55,48,3
0,43,63,26,76,163,5
0,59,62,16,4,72,11
0,49,72,11,55,55,0
0,51,68,36,71,83,0
1,0,0,0,0,0,0
0,75,70,18,55,58,1
0,87,66,14,17,80,2
0,48,75,18,55,85,0
0,137,87,3,55,4,0
0,60,70,48,55,114,1
0,102,70,19,55,44,1
0,81,86,18,55,100,0
0,89,74,39,51,20,0
0,31,73,8,67,25,1
0,113,73,63,55,145,6
0,85,80,11,55,124,1
0,97,67,45,37,29,1
0,23,68,7,55,24,2
0,45,81,16,55,89,0
0,136,69,13,9,101,0
0,107,59,20,8,174,0
0,92,87,19,55,8,1
0,93,57,26,1,62,5
0,62,83,11,55,28,0
0,49,66,27,38,104,0
0,78,72,16,46,80,2
0,100,66,20,21,155,1
0,82,89,21,55,3,1
0,86,61,23,69,119,1
0,87,67,12,34,150,0
0,35,66,10,55,173,1
0,196,91,12,55,6,0
0,122,91,17,55,2,0
0,104,73,52,60,142,2
0,60,77,20,51,101,2
0,90,56,4,2,1,1
0,50,61,37,2,172,0
0,69,77,23,25,14,0
0,53,61,25,1,139,0
0,83,60,21,5,136,0
0,93,77,30,30,74,0
0,71,55,9,4,39,0
0,49,81,5,55,74,0
1,0,0,0,0,0,0
0,48,65,0,12,83,5
0,85,65,14,11,149,0
0,79,69,17,25,23,6
0,19,66,11,55,119,1
0,90,76,7,60,22,0
0,63,84,27,55,7,5
0,88,60,59,10,113,1
0,119,55,23,1,29,0
0,79,71,15,7,129,0
0,105,75,27,70,79,0
0,109,82,44,55,85,1
0,44,64,3,74,44,2
0,58,82,25,50,54,1
0,159,63,14,23,33,0
0,61,72,18,7,100,0
0,59,64,33,55,90,3
0,34,63,11,0,175,2
0,114,68,21,20,97,4
0,59,79,39,55,109,4
0,70,55,13,2,131,3
0,83,88,9,55,25,0
0,170,76,9,31,2,2
0,141,69,19,4,146,1
0,83,73,22,29,30,11
0,80,62,26,1,1,0
0,24,58,18,55,164,7
0,66,70,47,68,48,1
0,63,81,13,55,45,1
1,0,0,0,0,0,0
0,78,81,18,55,64,0
0,67,61,71,10,94,1
0,80,78,48,55,103,1
0,57,70,31,14,20,1
0,157,60,21,3,118,2
0,74,87,21,55,109,1
0,69,67,38,55,112,2
0,44,69,13,55,167,0
0,145,70,20,29,137,0
0,104,73,0,5,100,1
0,103,84,18,55,66,1
0,77,73,63,28,117,4
0,147,55,12,10,169,2
0,106,80,17,9,100,0
0,83,75,30,78,83,1
0,28,79,16,55,40,0
0,99,86,21,55,0,0
0,71,73,25,38,47,0
0,76,71,11,54,57,2
0,127,80,20,55,80,0
0,38,78,38,55,105,6
0,84,85,17,42,4,1
0,88,71,46,6,133,1
0,55,70,0,11,103,2
0,93,54,18,4,118,4
0,108,69,21,3,78,0
0,71,77,30,81,117,1
0,70,82,27,40,96,2
0,64,82,19,55,73,0
0,62,54,30,3,150,1
0,58,67,19,43,155,2
0,119,43,3,1,130,1
0,77,73,24,55,135,0
0,83,55,15,32,66,2
0,137,88,5,55,3,1
0,122,89,15,55,2,1
0,75,85,42,39,0,1
0,100,90,16,55,0,1
1,0,0,0,0,0,0
0,128,79,32,55,2,3
0,127,87,26,55,62,3
0,70,70,50,55,162,0
0,79,65,33,55,81,3
0,87,79,30,12,0,0
0,70,81,22,55,58,0
0,98,78,21,55,35,1
0,32,59,22,55,91,3
0,219,60,7,1,31,1
0,100,72,28,27,40,1
0,105,83,40,55,75,3
0,143,73,13,0,73,2
0,91,82,27,55,86,0
0,102,84,19,55,36,2
0,73,63,2,2,37,0
0,185,60,19,11,157,2
0,103,86,20,55,66,1
0,68,70,25,14,53,0
0,108,91,11,55,43,1
0,71,87,8,55,12,0
0,63,68,14,25,127,2
0,106,79,45,55,139,0
0,23,59,4,55,90,1
0,99,86,46,55,19,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,54,64,21,4,88,2
0,60,81,21,55,3,1
0,58,74,24,80,117,0
0,91,63,23,55,131,2
0,104,83,12,35,6,0
0,86,78,41,55,5,2
0,59,64,49,55,37,8
0,98,68,21,44,76,0
0,44,68,20,18,24,4
0,63,61,35,10,59,2
0,77,56,17,1,190,2
0,55,76,10,55,76,2
0,113,74,13,23,125,0
0,173,91,9,55,1,1
0,90,70,36,45,160,1
0,75,74,26,55,14,7
1,0,0,0,0,0,0
0,56,57,15,2,85,0
0,43,69,12,32,99,0
0,83,60,11,17,80,1
0,40,64,30,55,32,5
0,153,86,34,55,4,1
0,68,86,25,55,1,1
0,161,91,21,55,3,0
0,78,65,20,23,32,7
0,48,58,28,15,102,1
0,89,68,17,71,51,1
0,20,68,10,55,146,1
0,88,82,17,81,92,0
0,79,58,15,18,156,0
1,0,0,0,0,0,0
0,61,67,30,32,120,4
0,112,61,16,7,140,4
0,98,56,12,1,151,3
0,67,68,20,8,64,3
0,98,86,0,55,20,0
0,84,65,11,54,78,0
0,55,66,17,69,162,4
0,41,68,32,55,157,1
0,86,68,22,41,120,3
0,169,88,28,55,14,0
0,91,72,36,22,40,0
0,70,66,48,0,167,0
0,60,89,56,55,99,3
0,56,72,17,55,50,2
0,79,68,24,5,120,0
0,118,90,27,55,71,0
0,85,73,33,23,53,0
0,61,69,10,6,152,1
0,142,65,24,2,41,13
0,88,86,20,55,2,0
0,12,72,25,55,89,3
0,72,73,30,17,24,1
0,36,57,29,23,107,3
0,82,85,62,55,58,1
0,78,81,8,55,47,2
0,85,64,28,55,123,1
1,0,0,0,0,0,0
0,63,81,19,55,81,0
0,125,86,12,55,13,0
0,43,59,17,56,159,6
0,94,82,11,55,0,0
0,31,81,28,55,12,5
1,0,0,0,0,0,0
0,156,84,23,55,0,0
0,76,80,28,15,39,2
1,0,0,0,0,0,0
0,65,80,12,65,48,0
0,76,55,25,1,48,0
0,101,77,40,55,49,0
0,37,68,16,55,153,5
0,73,60,40,0,102,8
0,111,80,20,55,81,2
0,52,74,16,55,99,2
1,0,0,0,0,0,0
0,72,89,24,34,0,0
0,96,67,14,36,65,2
1,0,0,0,0,0,0
0,132,58,23,2,90,2
0,65,70,17,55,57,2
0,76,74,17,41,122,0
0,45,64,14,3,9,2
0,62,80,35,55,22,3
0,59,65,44,54,118,4
0,93,87,23,55,71,0
0,31,66,35,35,136,0
0,85,84,14,55,93,2
0,112,82,15,55,38,0
0,38,61,26,4,130,1
0,12,65,5,55,98,1
0,85,61,24,55,80,0
0,132,69,20,2,54,0
0,43,65,16,55,170,0
0,35,74,16,55,119,0
0,115,82,15,55,45,0
0,65,66,0,33,150,2
0,104,88,12,55,0,1
0,48,65,9,36,123,0
0,139,85,15,55,28,0
0,83,72,26,12,95,1
0,59,57,1,15,0,3
0,49,66,10,9,20,0
0,172,55,17,4,133,8
0,54,68,27,55,138,3
0,97,55,6,7,0,1
0,38,71,25,28,119,0
0,71,67,14,55,143,1
0,94,74,30,55,72,2
0,12,70,3,55,97,1
0,77,73,34,41,127,0
0,91,66,31,34,134,0
0,180,72,23,56,53,1
0,124,92,18,55,1,0
0,59,85,26,55,85,1
0,54,77,27,55,67,0
0,71,63,13,43,162,1
0,44,74,12,55,39,1
1,0,0,0,0,0,0
0,53,77,26,55,98,1
0,65,70,39,6,58,10
0,25,61,17,21,92,1
0,44,70,10,55,123,4
0,105,81,56,46,41,1
0,87,63,18,36,148,0
0,95,84,18,55,81,0
0,26,65,17,55,114,4
0,56,75,27,55,94,1
0,86,84,40,55,1,1
0,93,65,45,55,152,2
0,98,89,12,55,15,0
0,152,62,16,4,84,3
0,78,64,58,59,134,4
0,59,87,13,55,9,0
0,98,78,6,55,80,2
1,0,0,0,0,0,0
0,60,61,9,8,178,0
0,98,80,16,18,6,1
0,99,79,28,38,17,0
0,73,66,14,27,109,0
0,103,75,16,3,2,1
0,50,79,34,55,45,1
0,80,70,33,40,65,1
0,63,85,21,55,79,1
0,68,71,5,8,93,1
0,107,71,12,53,131,3
1,0,0,0,0,0,0
0,94,75,26,9,101,0
0,141,85,25,55,70,0
0,66,63,7,4,72,2
0,66,69,23,4,108,3
0,118,83,29,55,109,3
0,20,68,14,55,130,0
0,86,84,11,16,1,0
0,85,63,10,6,136,2
0,52,82,26,55,61,0
0,64,78,20,55,146,0
0,119,84,47,55,71,2
0,136,90,9,55,1,0
0,77,68,7,15,106,1
0,50,75,21,28,116,2
0,79,76,14,69,25,0
0,32,57,24,9,136,2
0,164,85,0,67,1,0
0,93,65,22,21,191,1
0,60,67,20,6,161,3
0,75,83,29,55,112,3
0,73,59,31,2,128,10
0,46,69,34,55,127,0
0,111,80,22,55,73,0
0,176,81,2,0,0,2
0,75,71,44,9,75,3
0,14,64,6,18,105,1
0,78,75,26,55,46,4
0,95,66,28,3,98,1
0,103,84,17,55,53,1
0,105,79,51,55,119,2
1,0,0,0,0,0,0
0,86,89,10,55,0,1
0,63,70,21,55,146,0
0,191,74,14,25,51,0
0,102,64,9,1,94,0
0,90,73,19,55,58,0
0,104,79,20,27,76,0
0,65,65,29,40,102,2
0,99,65,36,5,84,1
0,20,69,7,55,48,1
0,162,88,9,55,0,1
0,59,74,38,55,98,0
0,14,63,8,55,174,1
0,76,56,21,4,146,2
